feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
K01510,treatmentOrder,high,5.511694708,0.503321719,95,35,1.03E-15,1.60E-11
K15477,treatmentOrder,high,5.511694708,0.503321719,95,35,1.03E-15,1.60E-11
K15491,treatmentOrder,high,5.511694708,0.503321719,95,35,1.03E-15,1.60E-11
K13381,treatmentOrder,high,3.904466429,0.373215894,95,33,4.82E-15,4.47E-11
K18767,treatmentOrder,high,3.904466429,0.373215894,95,33,4.82E-15,4.47E-11
K15479,treatmentOrder,high,5.315391929,0.520905669,95,36,2.36E-14,1.83E-10
K15486,treatmentOrder,high,5.154598426,0.521470375,95,36,5.02E-14,2.91E-10
K18701,treatmentOrder,high,3.947311884,0.439250951,95,95,4.79E-14,2.91E-10
K18790,treatmentOrder,high,5.377926061,0.557975501,95,39,1.30E-13,6.73E-10
K15790,treatmentOrder,high,-2.584989573,0.297895047,95,94,2.05E-13,9.53E-10
K02586,treatmentOrder,high,-2.782307353,0.315312256,95,94,1.55E-12,6.54E-09
K02585,treatmentOrder,high,-2.746568081,0.318303257,95,94,3.37E-12,1.12E-08
K02587,treatmentOrder,high,-2.748391331,0.318031721,95,94,3.22E-12,1.12E-08
K02592,treatmentOrder,high,-2.747522028,0.318358036,95,94,3.37E-12,1.12E-08
K02593,treatmentOrder,high,-2.744612385,0.318976149,95,94,3.74E-12,1.16E-08
K18926,treatmentOrder,high,3.288634913,0.408948427,95,95,4.07E-12,1.18E-08
K02591,treatmentOrder,high,-2.698993486,0.316278611,95,94,5.04E-12,1.38E-08
K02597,treatmentOrder,high,-2.964975696,0.349430329,95,94,5.98E-12,1.54E-08
K02596,treatmentOrder,high,-2.798386632,0.330781598,95,94,6.44E-12,1.57E-08
K02594,treatmentOrder,high,-3.165975502,0.376976678,95,94,7.20E-12,1.59E-08
K02595,treatmentOrder,high,-2.829148942,0.335107663,95,94,6.89E-12,1.59E-08
K06990,treatmentOrder,high,-3.408706678,0.433127019,95,95,9.09E-12,1.92E-08
K13819,treatmentOrder,high,-3.339068156,0.425118861,95,94,9.77E-12,1.97E-08
K02588,treatmentOrder,high,-2.606890119,0.312776315,95,94,1.17E-11,2.27E-08
