	S10_L001	S11_L001	S12_L001	S13_L001	S14_L001	S15_L001	S16_L001	S17_L001	S18_L001	S19_L001	S1_L001	S20_L001	S21_L001	S22_L001	S23_L001	S25_L001	S26_L001	S27_L001	S28_L001	S29_L001	S2_L001	S30_L001	S31_L001	S32_L001	S33_L001	S34_L001	S35_L001	S36_L001	S37_L001	S38_L001	S39_L001	S3_L001	S40_L001	S41_L001	S42_L001	S43_L001	S44_L001	S45_L001	S46_L001	S47_L001	S48_L001	S49_L001	S4_L001	S50_L001	S51_L001	S52_L001	S53_L001	S54_L001	S55_L001	S56_L001	S57_L001	S58_L001	S59_L001	S5_L001	S61_L001	S62_L001	S63_L001	S64_L001	S65_L001	S66_L001	S67_L001	S68_L001	S69_L001	S6_L001	S70_L001	S71_L001	S72_L001	S73_L001	S74_L001	S75_L001	S76_L001	S77_L001	S78_L001	S79_L001	S7_L001	S80_L001	S81_L001	S82_L001	S83_L001	S85_L001	S86_L001	S87_L001	S88_L001	S89_L001	S8_L001	S90_L001	S92_L001	S93_L001	S94_L001	S95_L001	S96_L001	S97_L001	S9_L001	E5B55_L001	E5B56_L001
otunum1	7340	2250	15393	1400	274	210	2323	3339	6206	421	2087	2250	394	2133	3216	2666	2406	1605	734	2114	1801	8	124	84	10	588	82	531	1959	182	504	408	501	199	314	129	1166	47	280	181	1606	721	966	344	63	95	77	1148	1275	52	547	663	457	818	1466	203	71	102	167	502	22	652	471	18	111	51	101	134	87	501	514	574	1728	96	877	53	158	34	958	239	287	712	743	957	28	98	96	462	217	70	17	168	856	797	183
otunum10	1140	456	2297	558	601	155	13	373	101	27	358	96	160	23	29	19	171	67	10	59	36	0	37	76	10	139	6	32	18	18	1	96	55	14	42	18	67	4	3	30	34	100	14	54	50	81	68	24	26	108	1	1	152	39	39	135	46	42	101	462	14	3	33	24	1	26	14	14	25	105	16	19	7	40	1	16	12	2	11	40	22	34	71	12	10	67	55	18	65	2	4	9	8	12	62
otunum100	94	942	81	55	65	0	266	47	9	0	48	69	33	19	11	135	93	232	4	79	28	1	18	37	45	53	200	1	118	0	0	10	1	24	15	6	0	11	17	5	1	6	19	5	20	69	15	10	78	39	31	28	19	24	7	0	6	5	16	4	2	92	6	3	2	6	1	0	2	2	100	0	0	14	28	4	24	44	4	24	8	8	8	0	8	0	4	9	1	176	2	16	43	2	0
otunum1000	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
otunum1001	0	0	0	0	0	0	0	0	0	0	0	0	20	1	1	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	4	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	13	4	58	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	0	0
otunum1002	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
otunum1003	0	0	0	0	0	0	0	0	0	0	0	0	7	3	1	5	1	4	0	2	0	0	0	4	0	9	0	4	2	0	1	0	3	1	6	2	21	0	2	0	1	2	3	3	3	2	2	5	3	2	2	0	14	0	5	2	1	3	1	5	8	0	0	2	0	0	2	3	3	8	0	0	1	1	1	1	0	0	3	0	0	0	0	2	1	3	1	1	1	2	0	1	1	2	0
otunum1004	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otunum1005	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otunum1006	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
