row.names	treatment	treatmentOrder	aquarium	extractionRound	Thigmotaxis	Speed	metabolicRate	Pretraining	Posttraining	biteRateChange
S7_L001	oneug	low	1	two	0.788359788	0.42	0.1561	12	-4	-16
S58_L001	oneug	low	1	four	0.3	0.133333333	0.1201	11	4	-7
S88_L001	oneug	low	2	six	0.69047619	0.84	0.1421	19	17	-2
S8_L001	oneug	low	3	two	0.778481013	0.351111111	0.6315	25	11	-14
S57_L001	oneug	low	3	four	0.235294118	0.566666667	0.2393	9	0	-9
S70_L001	oneug	low	3	five	0.543062201	0.928888889	0.4983	6	0	-6
S10_L001	oneug	low	4	two	0.64640884	0.402222222	0.4831	10	-1	-11
S32_L001	oneug	low	4	three	0.328611898	0.784444444	0.2662	21	15	-6
S36_L001	oneug	low	5	three	0.77245509	0.371111111	0.1382	11	10	-1
S56_L001	oneug	low	5	four	0.508960573	0.62	0.1208	15	-4	-19
S69_L001	oneug	low	5	five	0.424657534	0.486666667	0.0116	14	18	4
S43_L001	control	control	6	four	0.849462366	0.62	0.1152	10	0	-10
S97_L001	control	control	7	six	0.739130435	0.408888889	0.6273	10	13	3
S71_L001	oneug	low	15	five	0.540342298	0.908888889	0.5692	21	15	-6
E5B56_L001	control	control	8	one	0	0.044444444	0.2548	20	0	-20
S20_L001	control	control	8	two	0.666666667	0.546666667	0.4292	9	6	-3
S46_L001	control	control	8	four	0.632967033	1.011111111	0.3464	9	5	-4
S83_L001	control	control	9	five	0.846681922	0.971111111	0.3777	4	0	-4
S42_L001	control	control	10	four	0.486111111	0.48	0.3457	22	3	-19
S9_L001	control	control	11	six	0.474006116	0.726666667	0.1336	19	0	-19
E5B55_L001	control	control	11	one	0.368421053	0.337777778	0.4772	19	0	-19
S22_L001	control	control	12	two	0.537931034	0.644444444	0.3049	11	2	-9
S68_L001	oneug	low	13	five	0.801886792	0.706666667	0.5858	16	18	2
S55_L001	control	control	14	four	0.622425629	0.971111111	0.6227	24	3	-21
S67_L001	oneug	low	15	five	0.658610272	0.735555556	0.4273	22	16	-6
S79_L001	control	control	7	five	0.873925501	0.775555556	0.7562	17	7	-10
S37_L001	oneug	low	16	four	0.726415094	0.942222222	0.7011	17	9	-8
S12_L001	oneug	low	16	two	0.578947368	0.675555556	0.8111	16	6	-10
S33_L001	oneug	low	17	three	0.318559557	0.802222222	0.639	17	17	0
S35_L001	oneug	low	17	three	0.90625	0.995555556	0.7757	22	13	-9
S11_L001	oneug	low	17	two	0.801886792	0.706666667	0.6979	11	0	-11
S34_L001	oneug	low	18	three	0.742021277	0.835555556	0.6745	15	10	-5
S59_L001	oneug	low	18	four	0.777439024	0.728888889	0.2955	11	15	4
S80_L001	control	control	19	five	0.39159292	1.004444444	0.1914	17	-2	-19
S21_L001	control	control	19	two	0.677304965	0.626666667	0.5624	21	11	-10
S96_L001	control	control	20	six	0.717277487	0.848888889	0.6494	14	10	-4
S82_L001	control	control	20	five	0.718417047	1.46	0.4201	20	13	-7
S23_L001	control	control	21	two	0.375	0.177777778	0.35	14	15	1
S81_L001	control	control	21	five	0.762616822	1.188888889	0.498	19	11	-8
S19_L001	control	control	21	two	0	0.111111111	0.1073	27	8	-19
S17_L001	twoug	medium	23	two	0.319327731	0.793333333	0.4883	13	16	3
S75_L001	twoug	medium	23	five	0.782608696	0.46	0.3552	18	9	-9
S92_L001	twoug	medium	24	six	0.457264957	0.52	0.6428	8	5	-3
S39_L001	twoug	medium	24	four	0.383116883	0.342222222	0.6406	14	12	-2
S77_L001	twoug	medium	24	five	0.359756098	1.093333333	0.6259	17	24	7
S41_L001	twoug	medium	25	four	0.762711864	0.393333333	0.3336	18	10	-8
S94_L001	twoug	medium	25	six	0.282608696	0.92	0.1624	15	23	8
S38_L001	twoug	medium	26	four	0.637554585	0.508888889	0.7251	9	0	-9
S90_L001	twoug	medium	27	six	0.689265537	0.393333333	0.5248	22	17	-5
S93_L001	twoug	medium	27	six	0.667752443	0.682222222	0.5332	15	14	-1
S14_L001	twoug	medium	27	two	0.730769231	0.346666667	0.3836	21	13	-8
S44_L001	twoug	medium	28	four	0.521472393	0.724444444	0.4828	11	17	6
S40_L001	twoug	medium	28	four	0.52	0.277777778	0.3864	6	8	2
S76_L001	twoug	medium	28	five	0.76744186	0.382222222	0.3177	8	18	10
S15_L001	twoug	medium	29	two	0.267857143	0.497777778	0.5078	15	10	-5
S13_L001	twoug	medium	30	two	0.481927711	0.553333333	0.5526	19	10	-9
S89_L001	twoug	medium	31	six	0.526845638	0.662222222	0.7738	29	25	-4
S18_L001	twoug	medium	31	two	0.574712644	0.966666667	0.1849	10	17	7
S78_L001	twoug	medium	31	five	0.462	1.111111111	0.1512	5	0	-5
S74_L001	twoug	medium	32	five	0.874643875	0.78	0.5375	22	23	1
S95_L001	twoug	medium	32	six	0.416666667	0.24	0.2294	16	24	8
S73_L001	twoug	medium	32	five	0.827309237	0.553333333	0.4208	21	10	-11
S72_L001	twoug	medium	33	five	0.607052897	0.882222222	0.663	13	0	-13
S16_L001	twoug	medium	33	two	0.650406504	0.273333333	0.5062	20	19	-1
S47_L001	control	control	34	four	0.431818182	0.488888889	0.3058	13	10	-3
S45_L001	control	control	35	four	0.458015267	0.873333333	0.3326	14	25	11
S28_L001	fourug	xHigh	36	three	0.732919255	0.357777778	0.7825	12	8	-4
S25_L001	fourug	xHigh	36	three	0.358974359	0.78	0.5161	20	16	-4
S5_L001	fourug	xHigh	37	two	0.573459716	0.468888889	0.5116	21	17	-4
S27_L001	fourug	xHigh	37	three	0.74566474	0.768888889	0.4787	12	17	5
S29_L001	fourug	xHigh	37	three	0.485207101	0.751111111	0.4191	21	23	2
S2_L001	fourug	xHigh	38	two	0.505263158	0.633333333	0.6381	21	16	-5
S54_L001	fourug	xHigh	38	four	0.63973064	0.66	0.489	22	13	-9
S61_L001	fourug	xHigh	38	five	0.876106195	0.753333333	0.7218	24	14	-10
S49_L001	fourug	xHigh	39	four	0.769230769	1.155555556	0.4292	2	24	22
S30_L001	fourug	xHigh	41	three	0.455445545	0.224444444	0.6065	14	18	4
S3_L001	fourug	xHigh	41	two	0.666666667	0.76	0.4244	15	10	-5
S1_L001	fourug	xHigh	41	two	0.683615819	0.393333333	0.4506	10	13	3
S4_L001	fourug	xHigh	43	two	0.251552795	0.715555556	0.3161	17	12	-5
S86_L001	fourug	xHigh	43	six	0.497925311	0.535555556	0.196	18	19	1
S87_L001	fourug	xHigh	44	six	0.622065728	0.946666667	0.4197	21	10	-11
S26_L001	fourug	xHigh	44	three	0.724279835	1.08	0.3062	3	12	9
S48_L001	fourug	xHigh	45	four	0.5907173	0.526666667	0.4003	10	25	15
S53_L001	fourug	xHigh	45	four	0.862068966	0.644444444	0.5162	19	23	4
S6_L001	fourug	xHigh	45	two	0.581196581	0.26	0.2657	9	14	5
S65_L001	fourug	xHigh	46	five	0.74251497	0.371111111	0.5136	1	0	-1
S31_L001	fourug	xHigh	46	three	0.835777126	0.757777778	0.5142	15	18	3
S63_L001	fourug	xHigh	46	five	0.431818182	0.391111111	0.4078	25	18	-7
S66_L001	fourug	xHigh	47	five	0.695364238	1.006666667	0.8463	24	23	-1
